INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
8/29/2016 0:00,TX,KDAL,DALLAS LOVE FIELD ARPT,SWA,SOUTHWEST AIRLINES,B-737-700,D,UNKBS,Unknown bird - small,N,,148,42,10,1,A,4,2,1,1,,,N934WN,1015,FALSE,FALSE,8,2016,Day,1140,ASW,,13L,,400,135,,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Small,Y,xxxx-x-xx-xxxxxx,above F/O front window,,,,,Deleted,Deleted,8/30/2016 0:00,FAA Form 5200-7-E,Airport Operations,,,2/13/2018 0:00,FALSE,FALSE
8/29/2016 0:00,NY,KALB,ALBANY INTL,SWA,SOUTHWEST AIRLINES,B-737-700,D,ZX3,Sparrows,N,,148,42,10,1,A,4,2,1,1,,,N239WN,2855,FALSE,FALSE,8,2016,Day,1052,AEA,,1,,20,145,,Climb,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Small,Y,xxxx-x-xx-xxxxxx,,,,,,Deleted,Deleted,8/29/2016 0:00,FAA Form 5200-7-E,Pilot,,,2/13/2018 0:00,FALSE,FALSE
8/28/2016 0:00,TX,KDAL,DALLAS LOVE FIELD ARPT,SWA,SOUTHWEST AIRLINES,B-737-700,D,UNKBS,Unknown bird - small,N,,148,42,10,1,A,4,2,1,1,,,,1030,FALSE,FALSE,8,2016,Day,515,ASW,,13L,,1800,190,,Approach,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Small,N,xxxx-x-xx-xxxxxx,No remarks,,,,,Deleted,Deleted,8/29/2016 0:00,FAA Form 5200-7-E,Pilot,,,2/13/2018 0:00,FALSE,FALSE
8/28/2016 0:00,NV,KLAS,MC CARRAN INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-700,D,UNKBS,Unknown bird - small,N,,148,42,10,1,A,4,2,1,1,,,N294WN,1127,FALSE,FALSE,8,2016,,800,AWP,,25L,,200,131,0,Approach,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,,1,1,Small,N,xxxx-x-xx-xxxxxx,None,,,,,,,8/29/2016 0:00,FAA Form 5200-7-E,,,,2/13/2018 0:00,FALSE,FALSE
8/28/2016 0:00,LA,KMSY,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-700,D,UNKBM,Unknown bird - medium,N,,148,42,10,1,A,4,2,1,1,,,N926WN,3667,TRUE,TRUE,8,2016,,0,ASW,,27,,1000,190,,Climb,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,,,1,1,Medium,,xxxx-x-xx-xxxxxx,"This bird strike occurred at 1,000'after taking off from MSY. Unknown if it was reported at MSY. SAN was contacted upon their arrival and collected blood splatter on windshield. The blood remains were mailed to Smithsonian Institution by SAN.",,,,,Deleted,Deleted,8/28/2016 0:00,FAA Form 5200-7-E,Airport Operations,,,2/13/2018 0:00,FALSE,FALSE
8/28/2016 0:00,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-700,D,UNKBS,Unknown bird - small,N,,148,42,10,1,A,4,2,1,1,,,N952WN,206,FALSE,FALSE,8,2016,Night,2145,ASO,,36c,,500,132,,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,,1,Small,,xxxx-x-xx-xxxxxx,Impact top forward section of fuselage. Left a small smudge mark.,,,,,Deleted,Deleted,8/28/2016 0:00,FAA Form 5200-7-E,Pilot,,,2/13/2018 0:00,FALSE,FALSE
8/28/2016 0:00,FL,KRSW,SOUTHWEST FLORIDA INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-300,D,YI003,Bank swallow,N,,148,24,10,1,A,4,2,1,1,,,N623SW,766,FALSE,FALSE,8,2016,Day,1200,ASO,,6,,30,135,,Approach,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Some Cloud,None,11 to 100,2 to 10,Small,,"xxxx-x-xx-xxxxxx, -xxxxxx",The RSW ATCT notified Airport Operations that the flight crew of Southwest Airlines flight 766 reported striking one small bird while on the landing flare for Runway 06. The flight crew reported no effect on the flight or damage to the aircraft. Airport Operations inspected Runway 06 and removed the remains of one Barn Swallow.,,,,,Deleted,Deleted,8/28/2016 0:00,FAA Form 5200-7-E,Pilot,,,2/13/2018 0:00,FALSE,FALSE
8/28/2016 0:00,SC,KCHS,CHARLESTON AFB/INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-300,D,UNKBS,Unknown bird - small,N,,148,24,10,1,A,4,2,1,1,,,N631SW,245,TRUE,FALSE,8,2016,,,ASO,,33,,0,140,,Landing Roll,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Some Cloud,None,1,1,Small,Y,xxxx-x-xx-xxxxxx,Remains on Radome,,,,,Deleted,Deleted,8/29/2016 0:00,FAA Form 5200-7-E,Pilot,,,2/13/2018 0:00,FALSE,FALSE
8/28/2016 0:00,FL,KMCO,ORLANDO INTL,SWA,SOUTHWEST AIRLINES,B-737-700,D,YI,Swallows,,,148,42,10,1,A,4,2,1,1,,,,62,FALSE,FALSE,8,2016,,,ASO,,35R,,0,,,Landing Roll,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,,,,,,1,Small,,,,,,,,,,,Airport Report,Airport Operations,,,2/13/2018 0:00,FALSE,FALSE
8/27/2016 0:00,DC,KIAD,WASHINGTON DULLES INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-700,D,UNKBS,Unknown bird - small,N,,148,42,10,1,A,4,2,1,1,,,N948wn,1561,FALSE,FALSE,8,2016,Night,1100,AEA,,19c,,3000,210,,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,,1,Small,N,xxxx-x-xx-xxxxxx,Blood stain on right engine. No abnormal indications or odors.,,,,,Deleted,Deleted,8/28/2016 0:00,FAA Form 5200-7-E,Pilot,,,2/13/2018 0:00,FALSE,FALSE
